NIL,Travellers
17.0,7
80.0,14
55.0,11
52.0,21
46.0,5
15.0,7
77.0,6
81.0,2
2.0,9
83.0,9
21.0,30
47.0,0
73.0,0
10.0,4
34.0,1
22.0,22
82.0,2
25.0,12
58.0,3
79.0,8
1.0,5
37.0,2
78.0,1
63.0,0
56.0,13
65.0,17
9.0,5
70.0,13
49.0,22
3.0,0
41.0,9
13.0,9
4.0,9
11.0,17
23.0,8
35.0,16
53.0,5
20.0,11
12.0,15
7.0,8
72.0,3
30.0,7
54.0,1
44.0,8
14.0,14
29.0,1
19.0,14
68.0,10
87.0,0
88.0,0
86.0,0
85.0,0
24.0,3
18.0,7
31.0,2
84.0,0
8.0,0
27.0,5
67.0,6
66.0,1
61.0,3
76.0,16
62.0,2
39.0,1
38.0,4
33.0,3
40.0,0
48.0,7
45.0,11
60.0,2
74.0,0
69.0,11
36.0,8
57.0,18
42.0,13
75.0,0
43.0,3
6.0,8
50.0,6
59.0,1
64.0,0
32.0,1
28.0,17
16.0,10
5.0,5
71.0,13
51.0,13
26.0,13
101.0,53
102.0,16
103.0,11
104.0,117
105.0,13
999.0,520
