NIL,Travellers
17.0,10
80.0,9
55.0,10
52.0,15
46.0,3
15.0,3
77.0,8
81.0,4
2.0,7
83.0,4
21.0,25
47.0,0
73.0,0
10.0,11
34.0,1
22.0,21
82.0,5
25.0,5
58.0,7
79.0,9
1.0,7
37.0,1
78.0,1
63.0,0
56.0,8
65.0,9
9.0,1
70.0,6
49.0,12
3.0,0
41.0,8
13.0,8
4.0,8
11.0,11
23.0,5
35.0,15
53.0,9
20.0,22
12.0,16
7.0,9
72.0,1
30.0,7
54.0,0
44.0,5
14.0,18
29.0,5
19.0,17
68.0,7
87.0,0
88.0,0
86.0,0
85.0,0
24.0,1
18.0,6
31.0,3
84.0,0
8.0,0
27.0,4
67.0,2
66.0,3
61.0,4
76.0,15
62.0,1
39.0,1
38.0,5
33.0,3
40.0,1
48.0,6
45.0,5
60.0,6
74.0,1
69.0,21
36.0,0
57.0,5
42.0,9
75.0,1
43.0,10
6.0,11
50.0,1
59.0,2
64.0,4
32.0,4
28.0,10
16.0,14
5.0,2
71.0,16
51.0,11
26.0,18
101.0,45
102.0,17
103.0,17
104.0,100
105.0,9
999.0,511
