NIL,Travellers
17.0,7
80.0,10
55.0,10
52.0,7
46.0,6
15.0,2
77.0,2
81.0,0
2.0,2
83.0,4
21.0,20
47.0,1
73.0,0
10.0,4
34.0,0
22.0,3
82.0,4
25.0,6
58.0,5
79.0,5
1.0,3
37.0,2
78.0,0
63.0,0
56.0,9
65.0,6
9.0,1
70.0,3
49.0,10
3.0,0
41.0,4
13.0,4
4.0,2
11.0,4
23.0,5
35.0,16
53.0,5
20.0,14
12.0,4
7.0,5
72.0,1
30.0,7
54.0,2
44.0,2
14.0,9
29.0,3
19.0,7
68.0,5
87.0,0
88.0,0
86.0,0
85.0,1
24.0,0
18.0,9
31.0,2
84.0,0
8.0,0
27.0,0
67.0,1
66.0,1
61.0,3
76.0,3
62.0,3
39.0,0
38.0,4
33.0,3
40.0,0
48.0,3
45.0,2
60.0,2
74.0,0
69.0,5
36.0,3
57.0,10
42.0,7
75.0,0
43.0,1
6.0,2
50.0,2
59.0,0
64.0,0
32.0,1
28.0,5
16.0,13
5.0,5
71.0,10
51.0,8
26.0,7
101.0,25
102.0,8
103.0,7
104.0,56
105.0,8
999.0,272
