NIL,Travellers
17.0,6
80.0,8
55.0,11
52.0,7
46.0,6
15.0,6
77.0,4
81.0,1
2.0,9
83.0,4
21.0,17
47.0,0
73.0,0
10.0,5
34.0,1
22.0,16
82.0,0
25.0,7
58.0,6
79.0,12
1.0,9
37.0,5
78.0,0
63.0,1
56.0,12
65.0,12
9.0,1
70.0,3
49.0,6
3.0,0
41.0,5
13.0,1
4.0,2
11.0,11
23.0,2
35.0,10
53.0,5
20.0,17
12.0,12
7.0,10
72.0,4
30.0,4
54.0,1
44.0,7
14.0,16
29.0,1
19.0,14
68.0,5
87.0,1
88.0,0
86.0,0
85.0,0
24.0,1
18.0,8
31.0,5
84.0,0
8.0,0
27.0,6
67.0,5
66.0,1
61.0,2
76.0,15
62.0,3
39.0,0
38.0,2
33.0,3
40.0,0
48.0,5
45.0,3
60.0,6
74.0,0
69.0,9
36.0,5
57.0,13
42.0,14
75.0,0
43.0,4
6.0,8
50.0,3
59.0,1
64.0,0
32.0,1
28.0,10
16.0,13
5.0,3
71.0,16
51.0,6
26.0,10
101.0,47
102.0,13
103.0,18
104.0,78
105.0,3
999.0,436
