NIL,Travellers
17.0,2
80.0,6
55.0,3
52.0,9
46.0,2
15.0,0
77.0,1
81.0,0
2.0,2
83.0,2
21.0,11
47.0,0
73.0,0
10.0,0
34.0,0
22.0,6
82.0,1
25.0,3
58.0,2
79.0,5
1.0,2
37.0,1
78.0,0
63.0,0
56.0,2
65.0,3
9.0,2
70.0,5
49.0,7
3.0,0
41.0,2
13.0,2
4.0,1
11.0,1
23.0,4
35.0,5
53.0,3
20.0,5
12.0,5
7.0,1
72.0,1
30.0,2
54.0,0
44.0,5
14.0,6
29.0,0
19.0,7
68.0,1
87.0,1
88.0,0
86.0,0
85.0,0
24.0,1
18.0,5
31.0,2
84.0,0
8.0,0
27.0,2
67.0,3
66.0,1
61.0,4
76.0,1
62.0,1
39.0,0
38.0,1
33.0,0
40.0,0
48.0,1
45.0,0
60.0,3
74.0,0
69.0,4
36.0,2
57.0,6
42.0,6
75.0,0
43.0,2
6.0,1
50.0,2
59.0,0
64.0,0
32.0,0
28.0,1
16.0,3
5.0,5
71.0,6
51.0,4
26.0,1
101.0,18
102.0,2
103.0,6
104.0,45
105.0,3
999.0,177
