NIL,Travellers
17.0,7
80.0,12
55.0,11
52.0,23
46.0,9
15.0,1
77.0,7
81.0,0
2.0,7
83.0,3
21.0,20
47.0,0
73.0,0
10.0,8
34.0,0
22.0,14
82.0,6
25.0,6
58.0,3
79.0,11
1.0,5
37.0,1
78.0,0
63.0,2
56.0,9
65.0,7
9.0,3
70.0,7
49.0,11
3.0,0
41.0,2
13.0,5
4.0,10
11.0,10
23.0,5
35.0,11
53.0,4
20.0,12
12.0,10
7.0,6
72.0,1
30.0,9
54.0,1
44.0,7
14.0,22
29.0,0
19.0,12
68.0,6
87.0,0
88.0,0
86.0,0
85.0,0
24.0,2
18.0,7
31.0,0
84.0,0
8.0,0
27.0,9
67.0,3
66.0,1
61.0,4
76.0,15
62.0,3
39.0,1
38.0,2
33.0,5
40.0,0
48.0,6
45.0,3
60.0,3
74.0,0
69.0,7
36.0,10
57.0,10
42.0,17
75.0,0
43.0,3
6.0,7
50.0,6
59.0,2
64.0,0
32.0,1
28.0,6
16.0,13
5.0,9
71.0,16
51.0,9
26.0,11
101.0,37
102.0,17
103.0,13
104.0,77
105.0,6
999.0,421
