NIL,Travellers
17.0,1
80.0,13
55.0,10
52.0,14
46.0,9
15.0,3
77.0,7
81.0,4
2.0,6
83.0,2
21.0,24
47.0,0
73.0,0
10.0,6
34.0,0
22.0,17
82.0,2
25.0,10
58.0,2
79.0,6
1.0,6
37.0,3
78.0,3
63.0,1
56.0,11
65.0,17
9.0,3
70.0,7
49.0,12
3.0,0
41.0,13
13.0,5
4.0,2
11.0,7
23.0,5
35.0,22
53.0,2
20.0,11
12.0,11
7.0,7
72.0,2
30.0,9
54.0,2
44.0,11
14.0,13
29.0,2
19.0,14
68.0,2
87.0,1
88.0,0
86.0,0
85.0,2
24.0,2
18.0,8
31.0,4
84.0,0
8.0,0
27.0,9
67.0,2
66.0,3
61.0,9
76.0,13
62.0,1
39.0,0
38.0,2
33.0,4
40.0,0
48.0,1
45.0,5
60.0,5
74.0,0
69.0,10
36.0,4
57.0,10
42.0,10
75.0,0
43.0,7
6.0,10
50.0,7
59.0,1
64.0,0
32.0,1
28.0,7
16.0,10
5.0,3
71.0,18
51.0,10
26.0,7
101.0,40
102.0,21
103.0,15
104.0,95
105.0,5
999.0,396
