NIL,Travellers
17.0,4
80.0,2
55.0,3
52.0,5
46.0,3
15.0,2
77.0,0
81.0,1
2.0,3
83.0,0
21.0,7
47.0,0
73.0,0
10.0,0
34.0,0
22.0,8
82.0,1
25.0,2
58.0,1
79.0,3
1.0,2
37.0,1
78.0,0
63.0,0
56.0,3
65.0,1
9.0,1
70.0,3
49.0,0
3.0,0
41.0,2
13.0,0
4.0,2
11.0,2
23.0,2
35.0,1
53.0,1
20.0,0
12.0,3
7.0,3
72.0,0
30.0,2
54.0,0
44.0,1
14.0,2
29.0,0
19.0,5
68.0,1
87.0,0
88.0,0
86.0,0
85.0,0
24.0,1
18.0,2
31.0,0
84.0,0
8.0,0
27.0,3
67.0,0
66.0,0
61.0,2
76.0,2
62.0,1
39.0,0
38.0,0
33.0,0
40.0,0
48.0,3
45.0,2
60.0,2
74.0,0
69.0,1
36.0,1
57.0,6
42.0,1
75.0,0
43.0,1
6.0,2
50.0,1
59.0,0
64.0,0
32.0,0
28.0,0
16.0,2
5.0,3
71.0,6
51.0,3
26.0,5
101.0,7
102.0,7
103.0,4
104.0,23
105.0,3
999.0,97
