NIL,Travellers
17.0,17
80.0,14
55.0,20
52.0,21
46.0,9
15.0,2
77.0,3
81.0,3
2.0,8
83.0,3
21.0,30
47.0,1
73.0,0
10.0,3
34.0,0
22.0,25
82.0,6
25.0,12
58.0,6
79.0,9
1.0,6
37.0,3
78.0,2
63.0,0
56.0,12
65.0,10
9.0,2
70.0,7
49.0,18
3.0,0
41.0,10
13.0,5
4.0,4
11.0,10
23.0,5
35.0,19
53.0,8
20.0,26
12.0,22
7.0,7
72.0,3
30.0,5
54.0,1
44.0,4
14.0,22
29.0,2
19.0,18
68.0,10
87.0,0
88.0,0
86.0,1
85.0,0
24.0,0
18.0,9
31.0,5
84.0,0
8.0,0
27.0,2
67.0,3
66.0,2
61.0,11
76.0,19
62.0,1
39.0,1
38.0,10
33.0,4
40.0,0
48.0,7
45.0,5
60.0,8
74.0,0
69.0,14
36.0,11
57.0,15
42.0,18
75.0,1
43.0,6
6.0,12
50.0,7
59.0,1
64.0,3
32.0,0
28.0,10
16.0,27
5.0,10
71.0,24
51.0,12
26.0,18
101.0,45
102.0,20
103.0,19
104.0,127
105.0,5
999.0,596
