NIL,Travellers
17.0,4
80.0,5
55.0,8
52.0,11
46.0,4
15.0,0
77.0,3
81.0,4
2.0,5
83.0,5
21.0,29
47.0,1
73.0,0
10.0,9
34.0,0
22.0,11
82.0,2
25.0,12
58.0,6
79.0,8
1.0,9
37.0,3
78.0,1
63.0,0
56.0,9
65.0,11
9.0,0
70.0,7
49.0,8
3.0,0
41.0,11
13.0,3
4.0,4
11.0,8
23.0,6
35.0,11
53.0,5
20.0,18
12.0,8
7.0,9
72.0,3
30.0,5
54.0,0
44.0,2
14.0,11
29.0,2
19.0,17
68.0,7
87.0,0
88.0,0
86.0,0
85.0,0
24.0,0
18.0,2
31.0,1
84.0,0
8.0,0
27.0,8
67.0,1
66.0,2
61.0,1
76.0,15
62.0,1
39.0,1
38.0,6
33.0,1
40.0,1
48.0,3
45.0,3
60.0,1
74.0,0
69.0,10
36.0,4
57.0,5
42.0,6
75.0,0
43.0,3
6.0,6
50.0,7
59.0,1
64.0,0
32.0,0
28.0,7
16.0,9
5.0,4
71.0,16
51.0,8
26.0,7
101.0,29
102.0,15
103.0,18
104.0,59
105.0,3
999.0,393
