NIL,Travellers
17.0,5
80.0,10
55.0,13
52.0,9
46.0,5
15.0,2
77.0,4
81.0,2
2.0,4
83.0,4
21.0,21
47.0,0
73.0,0
10.0,4
34.0,0
22.0,11
82.0,4
25.0,6
58.0,8
79.0,6
1.0,5
37.0,1
78.0,3
63.0,0
56.0,7
65.0,7
9.0,0
70.0,2
49.0,7
3.0,0
41.0,7
13.0,5
4.0,3
11.0,6
23.0,2
35.0,8
53.0,2
20.0,10
12.0,7
7.0,5
72.0,5
30.0,6
54.0,2
44.0,2
14.0,7
29.0,1
19.0,12
68.0,8
87.0,0
88.0,0
86.0,0
85.0,0
24.0,1
18.0,8
31.0,0
84.0,0
8.0,0
27.0,5
67.0,2
66.0,0
61.0,6
76.0,6
62.0,0
39.0,0
38.0,4
33.0,1
40.0,0
48.0,3
45.0,5
60.0,1
74.0,0
69.0,7
36.0,8
57.0,6
42.0,15
75.0,0
43.0,3
6.0,3
50.0,4
59.0,2
64.0,0
32.0,1
28.0,8
16.0,6
5.0,1
71.0,8
51.0,9
26.0,6
101.0,39
102.0,7
103.0,6
104.0,85
105.0,7
999.0,287
