NIL,Travellers
17.0,9
80.0,8
55.0,11
52.0,13
46.0,5
15.0,1
77.0,2
81.0,1
2.0,9
83.0,5
21.0,13
47.0,0
73.0,1
10.0,9
34.0,0
22.0,12
82.0,2
25.0,5
58.0,12
79.0,7
1.0,2
37.0,3
78.0,1
63.0,0
56.0,9
65.0,10
9.0,3
70.0,8
49.0,12
3.0,0
41.0,8
13.0,7
4.0,5
11.0,5
23.0,2
35.0,11
53.0,4
20.0,20
12.0,8
7.0,3
72.0,2
30.0,6
54.0,0
44.0,6
14.0,12
29.0,2
19.0,17
68.0,6
87.0,0
88.0,0
86.0,0
85.0,0
24.0,2
18.0,4
31.0,2
84.0,0
8.0,0
27.0,6
67.0,5
66.0,1
61.0,2
76.0,7
62.0,3
39.0,0
38.0,5
33.0,4
40.0,1
48.0,4
45.0,6
60.0,0
74.0,0
69.0,16
36.0,3
57.0,12
42.0,12
75.0,0
43.0,8
6.0,8
50.0,4
59.0,2
64.0,4
32.0,1
28.0,9
16.0,7
5.0,5
71.0,20
51.0,8
26.0,11
101.0,30
102.0,10
103.0,12
104.0,84
105.0,6
999.0,394
