NIL,Travellers
17.0,12
80.0,10
55.0,14
52.0,13
46.0,5
15.0,3
77.0,4
81.0,1
2.0,3
83.0,4
21.0,24
47.0,0
73.0,0
10.0,6
34.0,0
22.0,13
82.0,4
25.0,6
58.0,5
79.0,8
1.0,9
37.0,3
78.0,1
63.0,1
56.0,10
65.0,17
9.0,4
70.0,7
49.0,9
3.0,0
41.0,1
13.0,2
4.0,5
11.0,10
23.0,8
35.0,14
53.0,2
20.0,18
12.0,7
7.0,4
72.0,1
30.0,6
54.0,1
44.0,4
14.0,10
29.0,2
19.0,12
68.0,7
87.0,0
88.0,0
86.0,0
85.0,0
24.0,0
18.0,11
31.0,3
84.0,0
8.0,0
27.0,4
67.0,5
66.0,1
61.0,1
76.0,6
62.0,2
39.0,0
38.0,6
33.0,8
40.0,0
48.0,4
45.0,3
60.0,4
74.0,0
69.0,4
36.0,6
57.0,7
42.0,13
75.0,0
43.0,3
6.0,4
50.0,2
59.0,0
64.0,2
32.0,2
28.0,2
16.0,6
5.0,2
71.0,13
51.0,9
26.0,10
101.0,40
102.0,11
103.0,7
104.0,69
105.0,4
999.0,363
