NIL,Travellers
17.0,5
80.0,6
55.0,10
52.0,15
46.0,5
15.0,2
77.0,2
81.0,1
2.0,5
83.0,5
21.0,22
47.0,0
73.0,0
10.0,8
34.0,0
22.0,13
82.0,4
25.0,5
58.0,5
79.0,8
1.0,6
37.0,1
78.0,1
63.0,0
56.0,12
65.0,7
9.0,1
70.0,4
49.0,3
3.0,0
41.0,5
13.0,3
4.0,2
11.0,9
23.0,4
35.0,9
53.0,5
20.0,8
12.0,6
7.0,3
72.0,3
30.0,3
54.0,1
44.0,9
14.0,10
29.0,1
19.0,10
68.0,1
87.0,0
88.0,0
86.0,0
85.0,0
24.0,0
18.0,6
31.0,1
84.0,0
8.0,0
27.0,4
67.0,2
66.0,2
61.0,4
76.0,9
62.0,1
39.0,0
38.0,1
33.0,0
40.0,0
48.0,1
45.0,6
60.0,5
74.0,0
69.0,6
36.0,6
57.0,11
42.0,9
75.0,0
43.0,5
6.0,4
50.0,6
59.0,0
64.0,1
32.0,0
28.0,8
16.0,7
5.0,5
71.0,18
51.0,13
26.0,7
101.0,42
102.0,19
103.0,7
104.0,84
105.0,4
999.0,328
