NIL,Travellers
17.0,8
80.0,15
55.0,10
52.0,16
46.0,9
15.0,1
77.0,14
81.0,5
2.0,11
83.0,6
21.0,32
47.0,0
73.0,0
10.0,11
34.0,0
22.0,17
82.0,3
25.0,10
58.0,9
79.0,10
1.0,9
37.0,3
78.0,1
63.0,2
56.0,12
65.0,23
9.0,2
70.0,15
49.0,12
3.0,0
41.0,11
13.0,12
4.0,7
11.0,11
23.0,11
35.0,21
53.0,10
20.0,26
12.0,15
7.0,9
72.0,2
30.0,15
54.0,1
44.0,12
14.0,20
29.0,0
19.0,24
68.0,10
87.0,0
88.0,0
86.0,0
85.0,1
24.0,0
18.0,11
31.0,4
84.0,1
8.0,0
27.0,13
67.0,4
66.0,1
61.0,3
76.0,18
62.0,2
39.0,0
38.0,9
33.0,9
40.0,1
48.0,7
45.0,9
60.0,13
74.0,0
69.0,11
36.0,6
57.0,14
42.0,14
75.0,0
43.0,5
6.0,6
50.0,12
59.0,0
64.0,1
32.0,0
28.0,13
16.0,12
5.0,6
71.0,20
51.0,16
26.0,18
101.0,66
102.0,25
103.0,23
104.0,127
105.0,14
999.0,654
