NIL,Travellers
17.0,10
80.0,9
55.0,14
52.0,22
46.0,2
15.0,1
77.0,6
81.0,2
2.0,9
83.0,9
21.0,28
47.0,0
73.0,0
10.0,10
34.0,1
22.0,8
82.0,0
25.0,11
58.0,7
79.0,12
1.0,7
37.0,5
78.0,1
63.0,0
56.0,8
65.0,13
9.0,2
70.0,12
49.0,11
3.0,0
41.0,7
13.0,6
4.0,5
11.0,12
23.0,4
35.0,11
53.0,12
20.0,23
12.0,11
7.0,6
72.0,4
30.0,6
54.0,0
44.0,4
14.0,18
29.0,1
19.0,19
68.0,9
87.0,1
88.0,1
86.0,0
85.0,0
24.0,1
18.0,7
31.0,5
84.0,0
8.0,0
27.0,7
67.0,2
66.0,1
61.0,3
76.0,14
62.0,0
39.0,0
38.0,9
33.0,4
40.0,0
48.0,4
45.0,6
60.0,0
74.0,0
69.0,13
36.0,5
57.0,10
42.0,8
75.0,1
43.0,6
6.0,4
50.0,7
59.0,0
64.0,0
32.0,0
28.0,6
16.0,12
5.0,4
71.0,16
51.0,10
26.0,10
101.0,54
102.0,14
103.0,18
104.0,110
105.0,14
999.0,495
