NIL,Travellers
17.0,2
80.0,12
55.0,13
52.0,11
46.0,8
15.0,2
77.0,5
81.0,2
2.0,5
83.0,5
21.0,34
47.0,0
73.0,0
10.0,10
34.0,1
22.0,20
82.0,6
25.0,7
58.0,9
79.0,6
1.0,6
37.0,2
78.0,1
63.0,0
56.0,8
65.0,13
9.0,0
70.0,6
49.0,11
3.0,0
41.0,9
13.0,3
4.0,7
11.0,8
23.0,3
35.0,14
53.0,7
20.0,18
12.0,10
7.0,10
72.0,5
30.0,6
54.0,0
44.0,4
14.0,18
29.0,2
19.0,14
68.0,5
87.0,0
88.0,0
86.0,0
85.0,0
24.0,1
18.0,2
31.0,1
84.0,0
8.0,0
27.0,7
67.0,4
66.0,2
61.0,2
76.0,19
62.0,1
39.0,0
38.0,3
33.0,3
40.0,0
48.0,4
45.0,8
60.0,3
74.0,0
69.0,11
36.0,5
57.0,5
42.0,8
75.0,0
43.0,5
6.0,7
50.0,10
59.0,1
64.0,1
32.0,0
28.0,6
16.0,12
5.0,2
71.0,13
51.0,8
26.0,8
101.0,32
102.0,16
103.0,8
104.0,83
105.0,5
999.0,409
