NIL,Travellers
17.0,5
80.0,5
55.0,14
52.0,17
46.0,6
15.0,3
77.0,6
81.0,1
2.0,4
83.0,6
21.0,15
47.0,1
73.0,0
10.0,15
34.0,0
22.0,15
82.0,3
25.0,8
58.0,6
79.0,4
1.0,10
37.0,2
78.0,0
63.0,0
56.0,9
65.0,11
9.0,0
70.0,4
49.0,16
3.0,0
41.0,3
13.0,4
4.0,3
11.0,12
23.0,6
35.0,13
53.0,9
20.0,20
12.0,10
7.0,9
72.0,3
30.0,6
54.0,1
44.0,10
14.0,9
29.0,1
19.0,9
68.0,11
87.0,0
88.0,0
86.0,0
85.0,0
24.0,0
18.0,6
31.0,2
84.0,0
8.0,0
27.0,8
67.0,1
66.0,1
61.0,4
76.0,13
62.0,4
39.0,0
38.0,6
33.0,3
40.0,0
48.0,0
45.0,5
60.0,2
74.0,0
69.0,4
36.0,6
57.0,4
42.0,13
75.0,0
43.0,0
6.0,7
50.0,4
59.0,1
64.0,1
32.0,1
28.0,8
16.0,9
5.0,5
71.0,18
51.0,8
26.0,17
101.0,35
102.0,6
103.0,11
104.0,98
105.0,10
999.0,381
