NIL,Travellers
17.0,6
80.0,16
55.0,20
52.0,16
46.0,5
15.0,4
77.0,4
81.0,1
2.0,4
83.0,2
21.0,24
47.0,1
73.0,0
10.0,9
34.0,1
22.0,20
82.0,6
25.0,15
58.0,10
79.0,3
1.0,6
37.0,1
78.0,1
63.0,3
56.0,9
65.0,13
9.0,1
70.0,5
49.0,18
3.0,0
41.0,6
13.0,5
4.0,5
11.0,13
23.0,7
35.0,12
53.0,5
20.0,22
12.0,12
7.0,7
72.0,2
30.0,13
54.0,1
44.0,10
14.0,12
29.0,0
19.0,18
68.0,8
87.0,0
88.0,0
86.0,0
85.0,0
24.0,0
18.0,8
31.0,1
84.0,1
8.0,0
27.0,6
67.0,1
66.0,3
61.0,6
76.0,20
62.0,3
39.0,1
38.0,8
33.0,7
40.0,0
48.0,13
45.0,6
60.0,10
74.0,0
69.0,12
36.0,6
57.0,9
42.0,11
75.0,0
43.0,7
6.0,12
50.0,11
59.0,0
64.0,1
32.0,0
28.0,9
16.0,19
5.0,4
71.0,15
51.0,15
26.0,14
101.0,56
102.0,21
103.0,18
104.0,107
105.0,11
999.0,494
