Departure Time (min),Departure Cluster,Departure Mu,Flight Code,SCHENGEN,TYPE,NATIONAL,Date,Pax,Company
615,20,13,AUA|1|615|D54,True,LEG,False,1/6/2023,148,AUSTRIAN AIRLINES
625,20,13,AFR|1|625|D61,True,LEG,False,1/6/2023,150,AIR FRANCE
625,20,14,EJU|1|625|D62,True,LC,True,1/6/2023,145,EASYJET EUROPE
625,20,11,SZN|1|625|D63,False,LEG,False,1/6/2023,85,AIR SENEGAL
630,21,15,EZY|1|630|D69,True,LC,False,1/6/2023,139,EASYJET
635,21,15,EJU|1|635|D80,True,LC,False,1/6/2023,186,EASYJET EUROPE
635,21,15,RYR|1|635|D81,True,LC,True,1/6/2023,182,RYANAIR
635,21,14,LOT|1|635|D82,True,LEG,False,1/6/2023,76,LOT
635,21,14,AEA|1|635|D84,True,LEG,False,1/6/2023,113,AIR EUROPA LINEAS AEREAS
640,21,14,SWR|1|640|D9,True,LEG,False,1/6/2023,132,SWISS  AIRLINES
645,21,15,RYR|1|645|D6,True,LC,True,1/6/2023,188,RYANAIR
645,21,12,THY|1|645|D7,False,LEG,False,1/6/2023,167,TURKISH AIRLINES
650,21,15,RYR|1|650|D23,True,LC,True,1/6/2023,174,RYANAIR
655,21,14,AEE|1|655|D88,True,LEG,False,1/6/2023,170,AEGEAN AIRLINES
660,22,16,WZZ|1|660|D15,True,LC,False,1/6/2023,233,WIZZ AIR
665,22,15,FIN|1|665|D14,True,LEG,False,1/6/2023,92,FINNAIR
665,22,16,EJU|1|665|D17,True,LC,False,1/6/2023,150,EASYJET EUROPE
665,22,16,EJU|1|665|D18,True,LC,True,1/6/2023,148,EASYJET EUROPE
670,22,13,AAL|1|670|D21,False,LEG,False,1/6/2023,252,AMERICAN AIRLINES
670,22,16,EJU|1|670|D22,True,LC,True,1/6/2023,185,EASYJET EUROPE
670,22,13,UAL|1|670|D24,False,LEG,False,1/6/2023,188,UNITED AIRLINES
675,22,16,EJU|1|675|D27,True,LC,False,1/6/2023,175,EASYJET EUROPE
675,22,15,DLH|1|675|D28,True,LEG,False,1/6/2023,96,LUFTHANSA
680,22,13,BAW|1|680|D1,False,LEG,False,1/6/2023,118,BRITISH AIRWAYS
680,22,15,SAS|1|680|D2,True,LEG,False,1/6/2023,176,SCANDINAVIAN AIRLINES SYSTEM
685,22,16,EZY|1|685|D65,True,LC,False,1/6/2023,167,EASYJET
690,23,14,DAL|1|690|D77,False,LEG,False,1/6/2023,190,DELTA AIR LINES
690,23,14,AHY|1|690|D79,False,LEG,False,1/6/2023,51,AZERBAIJAN AIRLINES
695,23,17,RYR|1|695|D8,True,LC,False,1/6/2023,171,RYANAIR
695,23,17,WZZ|1|695|D10,True,LC,False,1/6/2023,231,WIZZ AIR
705,23,17,EJU|1|705|D15,True,LC,False,1/6/2023,177,EASYJET EUROPE
705,23,14,TAR|1|705|D16,False,LEG,False,1/6/2023,101,TUNISAIR
710,23,16,TAP|1|710|D63,True,LEG,False,1/6/2023,191,TAP AIR PORTUGAL
720,24,18,EJU|1|720|D61,True,LC,True,1/6/2023,173,EASYJET EUROPE
725,24,18,EJU|1|725|D94,True,LC,True,1/6/2023,173,EASYJET EUROPE
730,24,15,ELY|1|730|D13,False,LEG,False,1/6/2023,143,ELAL
740,24,16,WZZ|1|740|D32,False,LC,False,1/6/2023,213,WIZZ AIR
755,25,18,DLH|1|755|D81,True,LEG,False,1/6/2023,96,LUFTHANSA
770,25,19,EJU|1|770|D84,True,LC,False,1/6/2023,174,EASYJET EUROPE
770,25,18,KLM|1|770|D85,True,LEG,False,1/6/2023,133,KLM
775,25,19,EJU|1|775|D60,True,LC,False,1/6/2023,180,EASYJET EUROPE
780,26,20,VLG|1|780|D87,True,LC,False,1/6/2023,170,VUELING AIRLINES   S.A.
790,26,20,RYR|1|790|D31,True,LC,True,1/6/2023,181,RYANAIR
790,26,17,SAS|1|790|D32,False,LEG,False,1/6/2023,168,SCANDINAVIAN AIRLINES SYSTEM
795,26,17,ACA|1|795|D23,False,LEG,False,1/6/2023,146,AIR CANADA
795,26,17,BAW|1|795|D24,False,LEG,False,1/6/2023,127,BRITISH AIRWAYS
