stop_id,stop_name,stop_lat,stop_lon,X,Y
6,c.so sempione via e. filiberto,45.48628322294479,9.158053935355326,512351.24600619636,5036984.760431874
8,via mosca via val cavallina,45.45214075959212,9.071217240235764,505568.6869638813,5033181.97103553
9,via mosca via spinazzola,45.45359287733268,9.07367294128026,505760.5576660311,5033343.468782508
10,via mosca via spinazzola,45.45361998090345,9.073516311556109,505748.3078848623,5033346.4686746495
12,via foppa via california,45.45766636123295,9.161001745589838,512587.97379455913,5033805.983524015
13,"via salici, 6",45.45309399846573,9.079401698927086,506208.5494346624,5033288.471692399
14,via ontani via betulle,45.45436361307984,9.078722451581395,506155.2998518499,5033429.468803913
15,via salici via ippocastani,45.4515133000142,9.080855779730836,506322.42301648745,5033112.975486301
22,via foppa via california,45.45776131204529,9.161392401490833,512618.4961738809,5033816.593450701
23,via morelli via silla,45.493159218853286,9.07685656656352,506005.2846947534,5037739.386682577
24,inceneritore a.m.s.a.,45.50262427926358,9.06712549725699,505244.05668282695,5038790.245635585
25,"via valsesia, 66",45.45390586584514,9.095228774879065,507445.9876820709,5033380.01112595
26,"via valsesia, 66",45.45374428346058,9.095504950825177,507467.60334864,5033362.085555126
27,"via valsesia, 44",45.45269277685479,9.100243910984904,507838.2918333751,5033245.718302545
28,"via valsesia, 44",45.45250946088348,9.100007827321308,507819.85726661445,5033225.329611159
29,via valsesia via nitti,45.45426530187927,9.100820304954064,507883.14225705224,5033420.476185099
30,via valsesia via nitti,45.45437775418521,9.100889246284948,507888.51710338145,5033432.975971163
31,via lucca via viterbo,45.45458180943779,9.104206803824043,508147.88710892375,5033455.976618589
32,via lucca via viterbo,45.4548881113018,9.103913213289072,508124.8874014203,5033489.975879699
33,"via lucca, 44",45.45476836453437,9.106884890777987,508357.2580671084,5033476.977095165
34,"via lucca, 44",45.45470963695273,9.107121380645356,508375.7577448459,5033470.477295269
35,via bagarotti via valsesia,45.45832211947132,9.098693174005971,507716.2685286852,5033870.966970152
36,via f.ze armate via f.lli di dio,45.460005540581456,9.098427502276513,507695.2681449258,5034057.963346533
37,via f.ze armate via f.lli di dio,45.46019956478351,9.097841076586295,507649.3939215748,5034079.462748551
38,via f.ze armate via cividale,45.45889629605753,9.10141426849632,507928.93524498976,5033935.020646433
39,via f.ze armate via cividale,45.45895787840077,9.101335923597327,507922.8013323154,5033941.854491615
40,via f.ze armate via cividale,45.45954875830434,9.100991166979512,507895.764569128,5034007.46513813
41,via f.ze armate via cividale,45.45958580522663,9.101512259224364,507936.49978242035,5034011.632229329
42,via f.ze armate via nikolajevka,45.45968938445764,9.10476776502033,508191.0089264358,5034023.466067642
43,via f.ze armate via nikolajevka,45.45982335326824,9.10590635527392,508280.00718304305,5034038.466155392
44,via f.ze armate via sella nuova,45.46011670840871,9.109117302281277,508531.0023054216,5034071.392580156
45,via f.ze armate via sella nuova,45.45982434347018,9.10945966269614,508557.8129344673,5034038.9483055305
46,via f.ze armate via sella nuova,45.46060273987468,9.10966105491336,508573.44027839566,5034125.446735125
47,via f.ze armate via sella nuova,45.46048129085465,9.109771918647024,508582.12617060787,5034111.966026279
48,"via caldera, 65",45.47629828837295,9.09736346996658,507609.88720382185,5035867.928765801
49,"via caldera, 65",45.47637198644807,9.097132585935158,507591.83151072485,5035876.094536039
50,via caldera via novara,45.47874666421829,9.102408764446007,508003.87862612744,5036140.425257628
51,via caldera via novara,45.47881412535836,9.102641685199435,508022.0732511526,5036147.94319141
52,"via cascina bellaria, 90",45.48361431923472,9.104495264737269,508166.24830213754,5036681.415706134
53,via novara via cascina bellaria,45.47802738103169,9.106462934613,508320.84297209093,5036060.927083571
54,via milly via marchesi,45.47175807250227,9.106589076937167,508331.6256749479,5035364.441298026
55,via milly via marchesi,45.47184524257959,9.106768164878076,508345.61137033603,5035374.144172921
56,"via cascina bellaria, 90",45.48341601731124,9.10480199629605,508190.24794072617,5036659.416222261
57,"via milly, 9",45.47336055231977,9.10626585568052,508306.12541373225,5035542.437825953
58,"via milly, 9",45.47351591134917,9.106428969192114,508318.852101293,5035559.714552385
59,via l. zoja via f.lli zoia,45.47414905477001,9.107428289089034,508396.86833399057,5035630.158545966
60,via l. zoja via f.lli zoia,45.4740880856992,9.107922390246072,508435.4976325264,5035623.4368342655
61,via novara via cascina bellaria,45.47743542800171,9.108841304566878,508506.81873337756,5035995.412098447
62,via pio ii via f.lli zoia,45.4697971814226,9.109945055870794,508594.24662291096,5035146.94650648
63,via pio ii via f.lli zoia,45.47022424927688,9.109393583444774,508551.0742404877,5035194.333430296
64,via marchesi via f.lli zoia,45.47147709509315,9.10866101591376,508493.62274497317,5035333.4425601885
65,via marx via cannizzaro,45.47431313513828,9.109302152777689,508543.3094915631,5035648.584808663
66,p.za scolari,45.49097563257008,9.101143111381765,507903.2498570237,5037498.89915172
67,"via f.lli gorlini, 7",45.489271335273926,9.101455965929162,507927.9351809443,5037309.587834175
68,"via f.lli gorlini, 7",45.489341851111845,9.101260169282517,507912.62543744256,5037317.402622524
69,p.za scolari,45.490673946200594,9.101316937104226,507916.8747395387,5037465.399841975
70,via balla via f.lli rizzardi,45.4934376939876,9.101370751738504,507920.69238598173,5037772.449052358
71,via lampugnano via angioletti,45.492106745871006,9.104498120260825,508165.24438365106,5037624.897862816
72,via lampugnano via angioletti,45.49238645595407,9.103749968153137,508106.7453589776,5037655.897032559
73,via m. di savoia via lampugnano,45.49241557705435,9.106523216106751,508323.435252314,5037659.415870361
74,via m. di savoia via lampugnano,45.49302696535754,9.107076990498058,508366.615153203,5037727.396765217
